,Париж,Марсель,Ліон,Тулуза,Ніцца,Нант,Монпельє,Страсбург,Бордо,Лілль,Ренн,Реймс,Гавр,Сент-Етьєн,Тулон
Париж,0,773,466,678,932,390,748,491,564,225,354,144,197,523,839
Марсель,773,0,321,402,197,984,164,800,644,989,1050,797,964,316,65
Ліон,466,321,0,538,471,685,304,492,553,682,738,488,656,62,378
Тулуза,678,402,538,0,561,579,242,967,245,895,841,813,829,393,468
Ніцца,932,197,471,561,0,1143,327,785,803,1148,1209,955,1123,473,150
Нант,390,984,685,579,1143,0,825,872,315,605,108,523,383,664,1050
Монпельє,748,164,304,242,327,825,0,791,485,964,905,788,917,321,233
Страсбург,491,800,492,967,785,872,791,0,473,525,841,351,700,550,867
Бордо,564,644,553,245,803,315,485,473,0,799,461,718,656,532,710
Лілль,225,989,682,895,1148,605,964,525,799,0,571,207,318,749,1055
Ренн,354,1050,738,841,1209,108,905,841,461,571,0,487,275,708,1110
Реймс,144,797,488,813,955,523,788,351,718,207,487,0,350,547,862
Гавр,197,964,656,829,1123,383,917,700,656,318,275,350,0,669,1030
Сент-Етьєн,523,316,62,393,473,664,321,550,532,749,708,547,669,0,397
Тулон,839,65,378,468,150,1050,233,867,710,1055,1110,862,1030,397,0
